EVALUATION RESULTS:
bleu,success,match
0.11930830465923484,0.6949806902687795,0.6153846153372781
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
1239,1,"maaf , tidak ada restoran yang sesuai dengan permintaanmu .bagaimana kalau makanan eropa modern modern ?",eropa modern modern pusat EOS_Z1,eropa modern pusat EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,kami punya food_SLOT modern di area area_SLOT dengan harga yang beragam . apakah kamu punya preferensi mengenai harga ?
1239,2,kami punya eropa modern di area pusat dengan harga yang beragam . apakah kamu punya preferensi mengenai harga ?harganya tidak penting . pilih saja satu untuk saya .,eropa modern tidak peduli pusat EOS_Z1,eropa modern tidak peduli pusat EOS_Z1,nomor teleponnya adalah 01223 352660 .,the river bar food_SLOT and grill bagus tetapi pricerange_SLOT . apakah kamu ingin alamat dan nomor teleponnya ?
1239,3,the river bar steakhouse and grill bagus tetapi murah . apakah kamu ingin alamat dan nomor teleponnya ?tentu saja,eropa modern tidak peduli pusat EOS_Z1 address phone,eropa modern pusat tidak peduli EOS_Z1 address phone,alamatnya adalah 01223 352660 .,alamatnya adalah quayside off bridge street . nomor teleponnya adalah 01223 307030 .
1239,4,alamatnya adalah quayside off bridge street . nomor teleponnya adalah 01223 307030 .terima kasih atas bantuannya . itu saja yang saya butuhkan .,eropa modern tidak peduli pusat EOS_Z1,eropa modern pusat tidak peduli EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,sama sama . selamat menikmati pengalaman makan malam kamu .
1270,5,,,,,
1270,0,"halo , saya sedang mencari restoran dengan harga yang menengah di bagian timur dari kota .",menengah timur EOS_Z1,menengah timur EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,apakah anda memiliki preferensi dari tipe makanan ?
1270,1,apakah anda memiliki preferensi dari tipe makanan ?saya tidak peduli .,tidak peduli menengah timur EOS_Z1,menengah tidak peduli timur EOS_Z1,"terima kasih , sampai jumpa .",terdapat tiga lokasi untuk dipilih
1270,2,"terdapat tiga lokasi untuk dipilihbaiklah , apa saja itu ?",tidak peduli menengah timur EOS_Z1,tidak peduli menengah timur EOS_Z1,nomor teleponnya adalah 01223 362430 .,curry prince dan rajmahal menyediakan makanan food_SLOT . dan pizza hut fen ditton menyediakan makanan food_SLOT .
1270,3,curry prince dan rajmahal menyediakan makanan india . dan pizza hut fen ditton menyediakan makanan italia .bisakah saya mendapatkan alamat salah satu dari mereka ?,tidak peduli menengah timur EOS_Z1 address,tidak peduli menengah timur EOS_Z1 address,alamatnya adalah 01223 727456 . apakah kamu ingin informasi lebih lanjut ?,tentunya . alamat dari curry prince adalah 451 newmarket road fen ditton . apakah ada hal lain yang bisa saya lakukan ?
1270,4,tentunya . alamat dari curry prince adalah 451 newmarket road fen ditton . apakah ada hal lain yang bisa saya lakukan ?terima kasih sampai jumpa .,tidak peduli menengah timur EOS_Z1,tidak peduli menengah timur EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,terima kasih sudah menggunakan sistem restoran cambridge . sampai jumpa .
1224,5,,,,,
1224,0,"hai , saya sedang mencari restoran yang menyediakan makanan vegetarian .",vegetarian EOS_Z1,vegeetarian EOS_Z1,"maafkan saya , apakah kamu ingin informasi lebih lanjut ?",tidak ada restoran yang menyediakan makanan food_SLOT .
1224,1,tidak ada restoran yang menyediakan makanan vegetarian .bagaimana dengan makanan turki ?,turki EOS_Z1,turki EOS_Z1,anatolia adalah restoran food_SLOT di bagian area_SLOT kota . apakah kamu ingin informasi lebih lanjut lebih lanjut mengenai informasi lebih lanjut ?,ada tiga restoran yang menyediakan makanan food_SLOT . apakah kamu memiliki preferensi harga ?
1224,2,ada tiga restoran yang menyediakan makanan turki . apakah kamu memiliki preferensi harga ?saya tidak peduli,turki tidak peduli EOS_Z1,tidak peduli turki EOS_Z1,"terima kasih , sampai jumpa .","anatolia adalah restoran food_SLOT , berada di rentang harga menengah dan berada di area_SLOT kota . apakah kamu ingin alamat dan nomornya ?"
1224,3,"anatolia adalah restoran turki , berada di rentang harga menengah dan berada di pusat kota . apakah kamu ingin alamat dan nomornya ?tolong alamatnya .",turki tidak peduli tidak peduli EOS_Z1 address phone,turki tidak peduli EOS_Z1 address,alamatnya adalah 01223 727232 . apakah kamu ingin informasi lebih lanjut lanjut ?,anatolia berlokasi di 30 bridge street city area_SLOT .
1224,4,anatolia berlokasi di 30 bridge street city centre .terima kasih sampai jumpa,turki tidak peduli tidak peduli EOS_Z1,turki tidak peduli EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,sama sama . sampai jumpa .
1311,5,,,,,
1311,0,"hello , i am looking for a moderately priced restaurant on the north side of town .",moderate north EOS_Z1,moderate north EOS_Z1,there are two pricerange_SLOT priced restaurants in the area_SLOT part of town . would you like a different type of food ?,i recommend golden wok . it is in the area_SLOT part of town with a pricerange_SLOT price range .
1311,1,"i recommend golden wok . it is in the north part of town with a moderate price range .yes , i am looking for a moderately priced restaurant in the north part of town .",moderate north EOS_Z1,moderate north EOS_Z1,golden wok is a pricerange_SLOT priced restaurant in the area_SLOT part of town . is there anything else i can help you with ?,i recommend golden wok . it is in the area_SLOT part of town with a pricerange_SLOT price range .
1311,2,"i recommend golden wok . it is in the north part of town with a moderate price range .i don't want golden wok , is there anything else ?",moderate north EOS_Z1,moderate north EOS_Z1,golden wok is a pricerange_SLOT priced restaurant in the area_SLOT part of town . is there anything else i can help you with ?,"yes , your other option is the nirala . it serves food_SLOT food and is also located in the area_SLOT part of town ."
1311,3,"yes , your other option is the nirala . it serves indian food and is also located in the north part of town .okay . what is their phone number ?",moderate north EOS_Z1 phone,moderate north EOS_Z1 phone,the phone number is 01223 727456 . is there anything else i can help you with ?,the phone number is 01223 360966 .
1311,4,the phone number is 01223 360966 .thank you . goodbye .,moderate north EOS_Z1,moderate north EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,"thank you , enjoy your meal ."
1326,5,,,,,
1326,0,i want something in the north part of town . moderately priced .,moderate north EOS_Z1,moderate north EOS_Z1,there are two restaurants in the area_SLOT part of town . would you like a different type of food ?,what kind of food would you like ?
1326,1,what kind of food would you like ?any type of food will be fine as long as it 's moderately priced and in the north part of town .,moderate north EOS_Z1 food,moderate north EOS_Z1,they are located at a pricerange_SLOT priced restaurant in the area_SLOT part of town . is there anything else i can help you with ?,"golden wok is located in the area_SLOT part of town , is pricerange_SLOT priced and serves food_SLOT food ."
1326,2,"golden wok is located in the north part of town , is moderately priced and serves chinese food .i've actually had a bad experience at the gold wok . is there another moderately priced restaurant in the north ?",moderate north EOS_Z1,moderate north EOS_Z1,the golden wok is located at a pricerange_SLOT priced priced restaurant in the area_SLOT part of town . is there anything else i can help you with ?,"would you instead be interested in the nirala , which serves food_SLOT food ?"
1326,3,"would you instead be interested in the nirala , which serves indian food ?sounds good . what is the postcode and phone number ?",moderate north EOS_Z1 address phone,moderate north EOS_Z1 phone postcode,the postcode is 01223 727456 . is there anything else i can help you with ?,"the post code and phone number for the nirala is c .b 4 , 1 u .y and phone is 01223 360966"
1326,4,"the post code and phone number for the nirala is c .b 4 , 1 u .y and phone is 01223 360966thank you . goodbye .",moderate north EOS_Z1 address,moderate north EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,goodbye .
1293,5,,,,,
1293,0,i am looking for a restaurant in the centre .,centre centre EOS_Z1,centre EOS_Z1,there are two restaurants in the area_SLOT of town . would you like a different type of food ?,"are you looking for a restaurant in the pricerange_SLOT , pricerange_SLOT or pricerange_SLOT price range ?"
1293,1,"are you looking for a restaurant in the expensive , moderate or cheap price range ?it doesn't matter . i'm particularly interested in jamaican food .",jamaican centre EOS_Z1,jamaican centre EOS_Z1,there are no restaurants that serve food_SLOT food . would you like a different type of food ?,unfortunately there are no food_SLOT restaurants in the area_SLOT area . is there another area or food type that you would like ?
1293,2,unfortunately there are no jamaican restaurants in the centre area . is there another area or food type that you would like ?then how about somewhere serving modern european food ?,modern european centre EOS_Z1,modern european centre EOS_Z1,the missing part of town is located at a corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner,"we have four restaurant that serves modern food_SLOT food in the area_SLOT area , is there anything else i can help you with ?"
1293,3,"we have four restaurant that serves modern european food in the centre area , is there anything else i can help you with ?yes please . give me the address of the best one of them .",modern european centre EOS_Z1 address,modern european centre EOS_Z1 address,the address is 01223 727456 .,the most pricerange_SLOT would be darrys cookhouse and wine shop at 40270 king street city area_SLOT . will that be all today ?
1293,4,the most expensive would be darrys cookhouse and wine shop at 40270 king street city centre . will that be all today ?thank you goodbye .,modern european centre EOS_Z1,modern european centre EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,"thank you , and let us know if we can be of further assistance ."
1309,5,,,,,
1309,0,i'm looking for unusual food in the south part of town .,expensive south EOS_Z1,unusual south EOS_Z1,there are two restaurants in the area_SLOT part of town . would you like their phone number ?,what price range do you prefer ?
1309,1,what price range do you prefer ?i have no preference .,expensive south EOS_Z1,unusual south EOS_Z1,they are located at a corner street city area_SLOT and are in the pricerange_SLOT price range . would you like a preference ?,there are no restaurants in the area_SLOT part of town serving food_SLOT type food .
1309,2,there are no restaurants in the south part of town serving unusual type food .what about italian food ?,italian expensive south EOS_Z1,italian south EOS_Z1,the missing part of town is located at a corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner corner,frankie and bennys is an food_SLOT restaurant in the area_SLOT part of town and is in the pricerange_SLOT price range .
1309,3,frankie and bennys is an italian restaurant in the south part of town and is in the expensive price range .what is the phone number and postcode ?,italian expensive south EOS_Z1 phone postcode,italian south EOS_Z1 phone postcode,frankie 's phone number is 01223 727707 . is there anything else i can help you with ?,"the postcode for frankie and bennys is c .b 1 , 7 d .y and the phone number is 01223 412430 ."
1309,4,"the postcode for frankie and bennys is c .b 1 , 7 d .y and the phone number is 01223 412430 .thank you , goodbye",italian expensive south EOS_Z1,italian south EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,goodbye
1271,5,,,,,
1271,0,saya tertarik untuk mencari sebuah restoran mahal yang menyediakan makanan italia .,italia mahal EOS_Z1,italia mahal EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,terdapat restoran food_SLOT yang pricerange_SLOT di wilayah area_SLOT dan area_SLOT . apakah kamu memiliki preferensi wilayah ?
1271,1,terdapat restoran italia yang mahal di wilayah pusat dan selatan . apakah kamu memiliki preferensi wilayah ?saya tidak peduli di area mana restoran itu berada .,italia tidak peduli selatan EOS_Z1,italia mahal tidak peduli EOS_Z1,"maafkan saya , apakah kamu ingin informasi lebih lanjut tentang informasi lebih lanjut tentang informasi lebih lanjut ?",terdapat restoran food_SLOT yang sangat bagus bernama stazione restaurant and coffee bar di daerah area_SLOT kota .
1271,2,terdapat restoran italia yang sangat bagus bernama stazione restaurant and coffee bar di daerah pusat kota .bisakah saya mendapatkan alamat dan nomornya ?,italia tidak peduli selatan EOS_Z1 address phone,italia mahal tidak peduli EOS_Z1 address phone,alamatnya adalah 01223 727232 . apakah kamu ingin informasi lebih lanjut lebih lanjut ?,nomor telepon stazione restaurant and coffee bar adalah 01223 352607 dan mereka berlokasi di market hill city area_SLOT .
1271,3,nomor telepon stazione restaurant and coffee bar adalah 01223 352607 dan mereka berlokasi di market hill city centre .jenis masakan apa yang mereka sajikan ?,italia tidak peduli selatan EOS_Z1 food,tidak peduli italia mahal EOS_Z1 food,alamatnya adalah 01223 352607 dan nomornya adalah 01223 352607 .,mereka menyediakan makanan food_SLOT .
1271,4,mereka menyediakan makanan italia .terima kasih,italia tidak peduli selatan EOS_Z1,italia mahal tidak peduli EOS_Z1,terima kasih telah menggunakan sistem restoran food_SLOT . sampai jumpa .,sama sama . semoga harimu menyenangkan .
1264,5,,,,,
1264,0,tolong saya ingin sebuah restoran dengan kisaran harga yang menengah .,menengah EOS_Z1,menengah EOS_Z1,apakah kamu ingin makanan yang menengah ?,makanan jenis apa yang kamu inginkan ?
1264,1,makanan jenis apa yang kamu inginkan ?semua jenis makanan tidak apa apa selama harganya yang menengah dan berada di bagian utara kota .,menengah utara EOS_Z1 food,tidak peduli menengah utara EOS_Z1,alamatnya adalah 01223 727 727456 . apakah kamu ingin informasi lebih lanjut lebih lanjut mengenai informasi lebih lanjut ?,"golden wok berada di bagian area_SLOT kota , dan memiliki harga yang menengah . mereka menyediakan makanan food_SLOT ."
1264,2,"golden wok berada di bagian utara kota , dan memiliki harga yang menengah . mereka menyediakan makanan cina .apakah ada restoran lainnya ?",menengah utara EOS_Z1,tidak peduli menengah utara EOS_Z1,golden wok adalah restoran food_SLOT yang menengah di bagian area_SLOT kota . apakah kamu ingin informasi lebih lanjut tentang informasi lebih lanjut ?,"terdapat the nirala , yang menyediakan makanan food_SLOT dan di kisaran harga yang menengah dan berada di bagian area_SLOT kota"
1264,3,"terdapat the nirala , yang menyediakan makanan india dan di kisaran harga yang menengah dan berada di bagian utara kotaitu terdengar bagus . apa nomor telepon mereka ?",menengah utara EOS_Z1 phone,menengah utara tidak peduli EOS_Z1 phone,nomor telepon mereka adalah 01223 727456 . apakah kamu ingin informasi lebih lanjut lebih lanjut lebih lanjut tentang informasi lebih lanjut ?,nomornya adalah 01223 360966 .
1264,4,"nomornya adalah 01223 360966 .terima kasih , sampai jumpa",menengah utara EOS_Z1,tidak peduli menengah utara EOS_Z1,sama sama . sampai jumpa .,sama sama . selamat tinggal .
1295,5,,,,,
1295,0,saya ingin restoran yang menengah yang menyediakan makanan meksiko,meksiko menengah EOS_Z1,meksiko menengah EOS_Z1,"maafkan saya , apakah kamu inginkan makanan food_SLOT ?",tidak ada restoran yang menengah yang menydiakan makanan food_SLOT .
1295,1,tidak ada restoran yang menengah yang menydiakan makanan meksiko .bagaimana dengan makanan internasional ?,internasional menengah EOS_Z1,internasional menengah EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,bloomsbury restaurant adalah restoran yang menengah yang menyediakan makanan food_SLOT di bagian area_SLOT kota .
1295,2,bloomsbury restaurant adalah restoran yang menengah yang menyediakan makanan internasional di bagian pusat kota .apa alamat dan kode pos mereka ?,internasional menengah EOS_Z1 address postcode,internasional menengah EOS_Z1 address postcode,alamatnya adalah 01223 727456 . apakah kamu ingin informasi lebih lanjut tentang bloomsbury restaurant ?,"alamatnya adalah crowne plaza hotel 20 downing street dan kode posnya adalah c .b 2 , 3 d .t adakah hal lain yang dapat saya bantu ?"
1295,3,"alamatnya adalah crowne plaza hotel 20 downing street dan kode posnya adalah c .b 2 , 3 d .t adakah hal lain yang dapat saya bantu ?terima kasih sampai jumpa .",internasional menengah EOS_Z1,internasional menengah EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,oke terima kasih
1295,4,oke terima kasihterima kasih sampai jumpa .,internasional menengah EOS_Z1,menengah internasional EOS_Z1,terima kasih telah menggunakan sistem kami . sampai jumpa .,sampai jumpa . terima kasih sudah menggunakan sistem kami
1263,5,,,,,
1263,0,makanan malaysia di bagian barat kota,malaysia barat EOS_Z1,malaysia barat EOS_Z1,"maafkan saya , apakah kamu ingin informasi lebih lanjut ?",tidak ada restoran food_SLOT di daerah area_SLOT kota . apakah kamu ingin memperbesar pencarianmu ?
1263,1,tidak ada restoran malaysia di daerah barat kota . apakah kamu ingin memperbesar pencarianmu ?bagaimana dengan makanan thailand di bagian barat kota ?,thailand barat EOS_Z1,thailand barat EOS_Z1,alamatnya adalah 01223 727 727456 . apakah kamu ingin informasi lebih lanjut lebih lanjut ?,sala thong adalah restoran yang menyediakan makanan food_SLOT
1263,2,"sala thong adalah restoran yang menyediakan makanan thailandapa alamat , nomor , dan rentang harganya ?",thailand barat EOS_Z1 address phone,thailand barat EOS_Z1 address phone pricerange,alamatnya adalah 01223 727456 . apakah kamu ingin informasi lanjut lebih lanjut lanjut ?,sala thong adalah restoran pricerange_SLOT yang beralamat di 35 newnham road newnham . nomor mereka adalah 01223 323178 . apakah ada hal lain yang dapat saya bantu ?
1263,3,sala thong adalah restoran mahal yang beralamat di 35 newnham road newnham . nomor mereka adalah 01223 323178 . apakah ada hal lain yang dapat saya bantu ?apa kode posnya ?,thailand barat EOS_Z1 postcode,barat thailand EOS_Z1 postcode,kode posnya adalah 01223 323178 dan kode posnya adalah 01223 323178 . apakah kamu ingin informasi lanjut lebih lanjut lanjut ?,"kode posnya adalah c .b 2 , 1 u .j ."
1263,4,"kode posnya adalah c .b 2 , 1 u .j .tidak , terima kasih",thailand barat EOS_Z1,thailand barat EOS_Z1,sama sama . sampai jumpa .,sama sama .
1325,5,,,,,
1325,0,can you recommend a restaurant to me in the south part of town ? i don't want to spend a lot of money .,south EOS_Z1,cheap south EOS_Z1,there are two restaurants that serve food . would you like a different type of food ?,what type of food are you looking for ?
1325,1,what type of food are you looking for ?the type of food doesn't matter to me .,south EOS_Z1 food,cheap south EOS_Z1,they are located at a certain price range . is there anything else i can help you with ?,"two results with pricerange_SLOT price range in the area_SLOT area of town . one is nandos which is food_SLOT food . the other is the lucky star , which is food_SLOT food ."
1325,2,"two results with cheap price range in the south area of town . one is nandos which is portuguese food . the other is the lucky star , which is chinese food .is there anything else ?",chinese south EOS_Z1,cheap south EOS_Z1,nandos is a food_SLOT restaurant in the area_SLOT part of town . is there anything else i can help you with ?,the lucky star is a food_SLOT restaurant that is pricerange_SLOT and on the area_SLOT side of town .
1325,3,the lucky star is a chinese restaurant that is cheap and on the south side of town .what is the phone number ?,chinese south EOS_Z1 phone,cheap south EOS_Z1 phone,the phone number is 01223 727456 . is there anything else i can help you with ?,the phone number of the lucky star is 01223 244277 .
1325,4,the phone number of the lucky star is 01223 244277 .that will be good . thank you !,chinese south EOS_Z1,cheap south EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,"thank you , goodbye ."
1318,5,,,,,
1318,0,tolong saya ingin restoran murah di bagian utara kota .,murah utara EOS_Z1,murah utara EOS_Z1,apakah kamu ingin makanan pricerange_SLOT ?,da vinci pizzeria adalah restoran food_SLOT di bagian area_SLOT kota . apakah kamu ingin nomor atau alamatnya ?
1318,1,da vinci pizzeria adalah restoran italia di bagian utara kota . apakah kamu ingin nomor atau alamatnya ?apakah ada hal lainnya ?,murah utara EOS_Z1 address phone,murah utara EOS_Z1,alamatnya adalah da vinci pizzeria dan nomornya adalah 01223 362660 . apakah kamu ingin informasi lanjut lebih lanjut tentang makanan food_SLOT ?,"city stop restaurant berada di bagian area_SLOT kota , dan berada di rentang harga pricerange_SLOT ."
1318,2,"city stop restaurant berada di bagian utara kota , dan berada di rentang harga murah .apakah ada lagi yang lain yang berada di rentang harga murah di bagian utara kota ?",murah utara EOS_Z1 address,murah utara EOS_Z1,alamatnya adalah 01223 727232 .,royal spice adalah restoran pricerange_SLOT di bagian area_SLOT kota . apakah kamu ingin alamatnya ?
1318,3,"royal spice adalah restoran murah di bagian utara kota . apakah kamu ingin alamatnya ?ya , alamat dan nomor untuk royal spice .",murah utara EOS_Z1 address phone,murah utara EOS_Z1 address phone,alamatnya adalah 01223 727456 . apakah kamu ingin informasi lebih lanjut lebih lanjut lebih lanjut ?,nomor dari royal spice adalah 01733 553355 dan berlokasi di victoria avenue chesterton . bisakah saya membantumu dengan yang lainnya ?
1318,4,"nomor dari royal spice adalah 01733 553355 dan berlokasi di victoria avenue chesterton . bisakah saya membantumu dengan yang lainnya ?tidak , sudah semuanya . terima kasih . sampai jumpa .",murah utara EOS_Z1,murah utara EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa .,"terima kasih , sampai jumpa ."
1283,5,,,,,
1283,0,bisakah kamu merekomendasikan restoran tidak mahal yang berada di bagian selatan kota ?,tidak peduli selatan EOS_Z1,murah selatan EOS_Z1,apakah kamu inginkan makanan yang pricerange_SLOT ?,"bagaimana dengan the lucky star , tempat food_SLOT bagus di area_SLOT"
1283,1,"bagaimana dengan the lucky star , tempat cina bagus di selatanapakah dia murah dan berada di selatan ?",tidak peduli cina selatan EOS_Z1,murah selatan EOS_Z1,lucky star adalah restoran food_SLOT pricerange_SLOT di area_SLOT kota . apakah kamu ingin informasi lebih lanjut tentang makanan food_SLOT ?,"ya , the lucky star pricerange_SLOT dan berada di area_SLOT kota ."
1283,2,"ya , the lucky star murah dan berada di selatan kota .oke . apa alamatnya ?",cina tidak peduli selatan EOS_Z1 address,murah selatan EOS_Z1 address,alamatnya adalah 01223 362430 .,alamatnya adalah cambridge leisure park clifton way .
1283,3,alamatnya adalah cambridge leisure park clifton way .apa nomornya ?,cina tidak peduli selatan EOS_Z1 address phone,murah selatan EOS_Z1 phone,nomornya adalah 01223 727707 . apakah kamu ingin informasi lebih lanjut lanjut ?,nomor dari the lucky star adalah 01223 244277 . adakah ada hal lainnya yang dapat saya bantu ?
1283,4,"nomor dari the lucky star adalah 01223 244277 . adakah ada hal lainnya yang dapat saya bantu ?sudah cukup , terima kasih , sampai jumpa .",cina tidak peduli selatan EOS_Z1,murah selatan EOS_Z1,"terima kasih , sampai jumpa .",apakah kamu menikmati makanan mu ?
1223,5,,,,,
1223,0,saya menginginkan sebuah restoran yang menyediakan makanan brasil,brasil EOS_Z1,brasil EOS_Z1,tidak ada restoran food_SLOT yang menyediakan makanan food_SLOT . apakah kamu ingin informasi lebih lanjut ?,tidak ada restoran yang menyediakan makanan food_SLOT .
1223,1,tidak ada restoran yang menyediakan makanan brasil .tolong carikan makanan perancis . saya juga membutuhkan alamat dan nomornya .,brasil EOS_Z1 address phone,perancis EOS_Z1 address phone,alamatnya adalah 01223 727 727456 . apakah kamu ingin informasi lebih lanjut lanjut ?,"saya menemukan dua restoran food_SLOT , satu berada di area_SLOT dan satunya lagi di area_SLOT . apakah kamu memiliki preferensi di area nya ?"
1223,2,"saya menemukan dua restoran perancis , satu berada di pusat dan satunya lagi di utara . apakah kamu memiliki preferensi di area nya ?saya tidak peduli .",perancis tidak peduli EOS_Z1 address,perancis tidak peduli EOS_Z1,"maafkan saya , apakah kamu ingin informasi lebih lanjut tentang makanan food_SLOT ?",apakah kamu mempunyai preferensi di harga ?
1223,3,apakah kamu mempunyai preferensi di harga ?saya tidak peduli,perancis tidak peduli tidak peduli EOS_Z1,perancis tidak peduli tidak peduli EOS_Z1,"terima kasih , sampai jumpa .",cote adalah restoran food_SLOT yang baik . mereka berlokasi di bridge street city area_SLOT dan nomornya adalah 01223 311053 . adakah hal lain yang dapat saya bantu ?
1223,4,"cote adalah restoran perancis yang baik . mereka berlokasi di bridge street city centre dan nomornya adalah 01223 311053 . adakah hal lain yang dapat saya bantu ?tidak , itu semua sudah cukup . terima kasih dan sampai jumpa !",perancis tidak peduli tidak peduli EOS_Z1,perancis tidak peduli tidak peduli EOS_Z1,"terima kasih , sampai jumpa .",sampai jumpa .
1228,5,,,,,
1228,0,hai . saya ingin sebuah restoran barbeku murah .,barbeku murah EOS_Z1,barbeku murah EOS_Z1,"maafkan saya , apakah kamu ingin informasi lebih lanjut ?",tidak ada restoran yang cocok dengan permintaanmu . apakah kamu menginginkan restoran lainnya ?
1228,1,tidak ada restoran yang cocok dengan permintaanmu . apakah kamu menginginkan restoran lainnya ?apakah ada restoran india murah ?,india murah EOS_Z1,india murah EOS_Z1,apakah kamu ingin informasi lebih lanjut tentang makanan food_SLOT ?,ada empat hasil yang sesuai dengan kriteria yang dibagikan . apakah kamu ingin yang berada di area_SLOT atau area_SLOT ?
